id,t,x,y,z
0,0.1,-1.3010990334081443,4.769965434574418,4.505804440445699
1,0.1,2.2398144534285436,-3.44028023216073,-5.901364077293336
2,0.1,0.8957905643205556,-5.421067734317512,-4.118940708241139
3,0.1,3.4360834800509665,0.0008371941119663953,0.17692510005909423
4,0.1,-3.389647886948358,-0.25364899268140795,-1.8082295832417388
5,0.1,-0.2129708781607257,2.381199955014235,1.9047239300981018
6,0.1,1.210771398341179,0.11629215471812658,2.1644369045572494
7,0.1,9.45493680212221,3.256416761896117,1.0312496539435458
8,0.1,4.33221930302356,-3.970018692355065,-1.2526243348228991
9,0.1,-5.447019378008876,0.06120163815146176,-0.9943288238300575
10,0.1,-2.2292997439737006,-2.5919712829706776,-0.19498020464310403
11,0.1,3.250000860189228,-1.2141110192815014,-1.3188751905502092
12,0.1,-2.174842739562758,4.675296276381304,6.102821512620818
13,0.1,-6.4499518445908075,4.593964342702537,4.112058351894045
14,0.1,4.799901559043232,6.703150814877422,1.7084026512368744
15,0.1,-1.507602646848208,2.660694769015122,-2.8712777997609797
16,0.1,0.757784955894002,-1.1052879625071341,2.486905149651145
17,0.1,-2.4137691513047743,0.4725782663489018,5.7258395357820655
18,0.1,7.020469501518166,2.123278675196472,-0.8463578305108697
19,0.1,-1.8883241049928077,1.420914831334607,2.5568278538092133
20,0.1,-2.8408746524030772,3.8746150541570734,6.859414522882229
21,0.1,4.381115923902992,2.5811303160885024,-3.0161939914389526
22,0.1,-2.088785053293011,1.524225076935114,1.3737212711122975
23,0.1,5.083818096869176,2.7688210541615788,1.179357290419954
24,0.1,3.564866727989252,2.456682610533116,-2.800802632630082
25,0.1,3.3867308445452498,6.8939386206699425,9.254399038412425
26,0.1,-4.04275141912037,-2.0407927767346994,-3.208403245421354
27,0.1,3.392396121017134,0.6693691010594064,-7.020002442580588
28,0.1,0.9907672794029475,-4.00135001003969,-0.782057545285484
29,0.1,1.82849372216728,-2.144657422844749,3.8004294261375904
30,0.1,-0.43276462181675607,5.584049466953728,-0.7826267834904955
31,0.1,2.231909071598968,-4.165938246374815,0.8802632977259673
32,0.1,-1.3768107771527809,-4.37833412071075,1.6741385261292678
33,0.1,3.8191497257652745,-3.5220404482215866,-1.1558629884362825
34,0.1,-1.9429301318270136,-1.19022161806817,1.338034610185181
35,0.1,-1.9765713092768828,-2.4153421113482376,3.2775939433459054
36,0.1,-0.6751955027395022,0.927513744514811,-1.6632174092565377
37,0.1,-0.21316646073787096,0.009641252386096637,-1.8764595532531643
38,0.1,2.9056058673939686,0.44498581306015106,-0.9548576626113315
39,0.1,3.2986589660448113,-3.80388017162764,-2.7980248333063824
40,0.1,-1.8267756352192608,2.2061839986553036,2.2635675193251927
41,0.1,-3.023324560894512,2.714486805037464,-0.8132724655973121
42,0.1,-1.164173113220822,4.153142632624576,0.16391894994276415
43,0.1,-0.871052213319411,0.9160228561497668,-1.9184153487474627
44,0.1,-2.157717644181747,1.3694493453707766,-2.5276127409215507
45,0.1,2.3033344809045957,-0.34841462046683885,2.9132395081346174
46,0.1,-0.4985780371326252,-3.6934477804147767,-1.5642857914279165
47,0.1,0.6531805591833281,2.4911433106554686,-2.498958081971974
48,0.1,-3.0765931300831877,-0.6633885939380183,4.00604934186762
49,0.1,2.7900913193613914,3.1873965399561475,-7.2402159063011045
50,0.1,3.0557097994680507,-4.373256034666656,-0.660143205683147
51,0.1,3.080986585877333,-2.13999226590367,0.8726397702314929
